SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
batch1-G9	batch1		TC66	1	m057	FALSE	3587943	92
batch1-H1	batch1		TC1	1	m058	FALSE	7936016	92
batch1-H2	batch1		TC9	1	m059	FALSE	10715217	92
batch1-H3	batch1		TC17	1	m060	FALSE	7629221	92
batch1-H4	batch1		TC25	1	m061	FALSE	9557570	92
batch1-H5	batch1		TC33	1	m062	FALSE	9324012	92
batch1-H6	batch1		TC41	1	m063	FALSE	5070959	92
batch1-H7	batch1		TC49	1	m064	FALSE	7066779	92
batch1-H8	batch1		TC57	1	m065	FALSE	7544407	92
batch1-H9	batch1		TC65	1	m066	FALSE	6559092	92
batch2a-A1	batch2a		HY8	1	m067	FALSE	1611120	150
batch2a-A2	batch2a		HY16	1	m068	FALSE	280957	150
batch2a-A3	batch2a		HY24	1	m069	FALSE	1569318	150
batch2a-A4	batch2a		HY32	1	m070	FALSE	1662414	150
batch2a-A5	batch2a		HY40	1	m071	FALSE	1442483	150
batch2a-A6	batch2a		HY48	1	m072	FALSE	2079646	150
batch2a-A7	batch2a		HY56	1	m073	FALSE	2013148	150
batch2a-A8	batch2a		HY64	1	m074	FALSE	1997650	150
batch2a-B1	batch2a		HY7	1	m075	FALSE	1848856	150
batch2a-B2	batch2a		HY15	1	m076	FALSE	1566553	150
batch2a-B3	batch2a		HY23	1	m077	FALSE	1697103	150
batch2a-B4	batch2a		HY31	1	m078	FALSE	1530121	150
batch2a-B5	batch2a		HY39	1	m079	FALSE	1547172	150
batch2a-B6	batch2a		HY47	1	m080	FALSE	1457335	150
batch2a-B7	batch2a		HY55	1	m081	FALSE	1576283	150
batch2a-B8	batch2a		HY63	1	m082	FALSE	2096230	150
batch2a-C1	batch2a		HY6	1	m083	FALSE	1335911	150
batch2a-C2	batch2a		HY14	1	m084	FALSE	1294932	150
batch2a-C3	batch2a		HY22	1	m085	FALSE	1379522	150
batch2a-C4	batch2a		HY30	1	m086	FALSE	1931393	150
batch2a-C5	batch2a		HY38	1	m087	FALSE	1503879	150
batch2a-C6	batch2a		HY46	1	m088	FALSE	2018885	150
batch2a-C7	batch2a		HY54	1	m089	FALSE	1583032	150
batch2a-C8	batch2a		HY62	1	m090	FALSE	1983065	150
batch2a-D1	batch2a		HY5	1	m091	FALSE	1245731	150
batch2a-D2	batch2a		HY13	1	m092	FALSE	1762811	150
batch2a-D3	batch2a		HY21	1	m093	FALSE	1681706	150
batch2a-D4	batch2a		HY29	1	m094	FALSE	1778751	150
batch2a-D5	batch2a		HY37	1	m095	FALSE	1151189	150
batch2a-D6	batch2a		HY45	1	m096	FALSE	1709092	150
batch2a-D7	batch2a		HY53	1	m097	FALSE	1806600	150
batch2a-D8	batch2a		HY61	1	m098	FALSE	2297466	150
batch2a-E1	batch2a		HY4	1	m099	FALSE	1434281	150
batch2a-E2	batch2a		HY12	1	m100	FALSE	1613211	150
batch2a-E3	batch2a		HY20	1	m101	FALSE	1899967	150
batch2a-E4	batch2a		HY28	1	m102	FALSE	2134830	150
batch2a-E5	batch2a		HY36	1	m103	FALSE	1505769	150
batch2a-E6	batch2a		HY44	1	m104	FALSE	1925216	150
batch2a-E7	batch2a		HY52	1	m105	FALSE	1901167	150
batch2a-E8	batch2a		HY60	1	m106	FALSE	2135431	150
batch2a-F1	batch2a		HY3	1	m107	FALSE	2254859	150
batch2a-F2	batch2a		HY11	1	m108	FALSE	1309666	150
batch2a-F3	batch2a		HY19	1	m109	FALSE	1400673	150
batch2a-F4	batch2a		HY27	1	m110	FALSE	1804961	150
batch2a-F5	batch2a		HY35	1	m111	FALSE	2338522	150
batch2a-F6	batch2a		HY43	1	m112	FALSE	1398688	150
batch2a-F7	batch2a		HY51	1	m113	FALSE	3206150	150
batch2a-F8	batch2a		HY59	1	m114	FALSE	2018787	150
batch2a-G1	batch2a		HY2	1	m115	FALSE	1857376	150
batch2a-G2	batch2a		HY10	1	m116	FALSE	2093403	150
batch2a-G3	batch2a		HY18	1	m117	FALSE	1828056	150
batch2a-G4	batch2a		HY26	1	m118	FALSE	1467266	150
batch2a-G5	batch2a		HY34	1	m119	FALSE	1507762	150
batch2a-G6	batch2a		HY42	1	m120	FALSE	1492261	150
batch2a-G7	batch2a		HY50	1	m121	FALSE	2038634	150
batch2a-G8	batch2a		HY58	1	m122	FALSE	1550517	150
batch2a-H1	batch2a		HY1	1	m123	FALSE	1729676	150
batch2a-H2	batch2a		HY9	1	m124	FALSE	2086694	150
batch2a-H3	batch2a		HY17	1	m125	FALSE	1546669	150
batch2a-H4	batch2a		HY25	1	m126	FALSE	1371611	150
batch2a-H5	batch2a		HY33	1	m127	FALSE	1898886	150
batch2a-H6	batch2a		HY41	1	m128	FALSE	1156145	150
batch2a-H7	batch2a		HY49	1	m129	FALSE	1763819	150
batch2a-H8	batch2a		HY57	1	m130	FALSE	3490404	150
batch2b-A1	batch2b		HY72	1	m131	FALSE	1187879	150
batch2b-A2	batch2b		HY80	1	m132	FALSE	1062273	150
batch2b-A3	batch2b		HY88	1	m133	FALSE	1296457	150
batch2b-A4	batch2b		HY96	1	m134	FALSE	1054437	150
batch2b-A5	batch2b		HY104	1	m135	FALSE	845849	150
batch2b-A6	batch2b		HY112	1	m136	FALSE	1592819	150
batch2b-A7	batch2b		HY120	1	m137	FALSE	1588508	150
batch2b-B1	batch2b		HY71	1	m138	FALSE	1382669	150
batch2b-B2	batch2b		HY79	1	m139	FALSE	1209223	150
batch2b-B3	batch2b		HY87	1	m140	FALSE	1433495	150
batch2b-B4	batch2b		HY95	1	m141	FALSE	1551154	150
batch2b-B5	batch2b		HY103	1	m142	FALSE	920832	150
batch2b-B6	batch2b		HY111	1	m143	FALSE	1382702	150
batch2b-B7	batch2b		HY119	1	m144	FALSE	1140687	150
batch2b-C1	batch2b		HY70	1	m145	FALSE	1325795	150
batch2b-C2	batch2b		HY78	1	m146	FALSE	1281048	150
batch2b-C3	batch2b		HY86	1	m147	FALSE	1470400	150
batch2b-C4	batch2b		HY94	1	m148	FALSE	1057041	150
batch2b-C5	batch2b		HY102	1	m149	FALSE	1535340	150
batch2b-C6	batch2b		HY110	1	m150	FALSE	1867127	150
batch2b-C7	batch2b		HY118	1	m151	FALSE	1036849	150
batch2b-C8	batch2b		HY126	1	m152	FALSE	1524728	150
