SampleID	Genotype	Tissue	Replicate	directory	file_prefix
s034	B73	shoot	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-SC-R1_S7
s035	B73	shoot	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-SC-R2_S84
s036	B73	shoot	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-SC-R2_S8
s037	B73	tassel	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-T-R1_S107
s038	B73	tassel	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-T-R1_S31
s039	B73	tassel	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-T-R2_S108
s040	B73	tassel	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-T-R2_S32
s041	PH207	anther	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-A-R1_S121
s042	PH207	anther	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-A-R1_S45
s043	PH207	anther	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-A-R2_S122
s044	PH207	anther	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-A-R2_S46
s045	PH207	ear	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-IE-R1_S115
s046	PH207	ear	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-IE-R1_S39
s047	PH207	ear	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-IE-R2_S116
s048	PH207	ear	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-IE-R2_S40
s049	PH207	embryo	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-Em-R1_S133
s050	PH207	embryo	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-Em-R1_S57
s051	PH207	embryo	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-Em-R2_S134
s052	PH207	embryo	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-Em-R2_S58
s053	PH207	endosperm	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-En-R1_S127
s054	PH207	endosperm	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-En-R1_S51
s055	PH207	endosperm	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-En-R2_S128
s056	PH207	endosperm	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-En-R2_S52
s057	PH207	internode	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-I-R1_S91
s058	PH207	internode	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-I-R1_S15
s059	PH207	internode	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-I-R2_S92
s060	PH207	internode	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-I-R2_S16
s061	PH207	leaf10	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-L10-R1_S97
s062	PH207	leaf10	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-L10-R1_S21
s063	PH207	leaf10	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-L10-R2_S98
s064	PH207	leaf10	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-L10-R2_S22
s065	PH207	leaf30	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-L-R1_S103
s066	PH207	leaf30	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-L-R1_S27
s067	PH207	leaf30	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-L-R2_S104
s068	PH207	leaf30	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-L-R2_S28
s069	PH207	root	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-R-R1_S79
s070	PH207	root	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-R-R1_S3
s071	PH207	root	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-R-R2_S80
s072	PH207	root	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-R-R2_S4
s073	PH207	shoot	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-SC-R1_S85
s074	PH207	shoot	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-SC-R1_S9
s075	PH207	shoot	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-SC-R2_S86
